ID_OR_NAME | TYPE | LABEL | TAB
saleBldgPetsCaseByCase | checkbox | [Unknown] | Modal
saleBldgPetsNone | checkbox | [Unknown] | Modal
saleBldgPetWeightLimit | number | Weight Limit (lbs) | Modal
saleBldgPetNotes | text | Pet Policy Notes | Modal
saleBldgWasherDryerAllowed | checkbox | [Unknown] | Modal
saleBldgPiedATerre | checkbox | [Unknown] | Modal
saleBldgParentsAllowed | checkbox | [Unknown] | Modal
saleBldgCoBuyersAllowed | checkbox | [Unknown] | Modal
saleBldgCorpOwnAllowed | checkbox | [Unknown] | Modal
saleBldgGiftsAllowed | checkbox | [Unknown] | Modal
saleBldgSublettingAllowed | select | Subletting Allowed | Modal
saleBldgMaxSubletYears | number | Max Sublet Years | Modal
saleBldgSubletFee | text | Sublet Fee | Modal
saleBldgMaxFinancing | text | Max Financing Allowed | Modal
saleBldgMinDownPayment | text | Min Down Payment | Modal
saleBldgDTIRatio | text | DTI Ratio Requirement | Modal
saleBldgPostCloseLiquidity | text | Post-Close Liquidity | Modal
saleBldgBoardApproval | checkbox | [Unknown] | Modal
saleBldgBoardInterview | checkbox | [Unknown] | Modal
saleBldgMgmtCompany | text | Company Name | Modal
saleBldgMgmtPhone | tel | Phone | Modal
saleBldgMgmtEmail | email | Email | Modal
saleBldgMgmtAddress | text | Address | Modal
saleBldgSuperName | text | [Unknown] | Modal
saleBldgSuperPhone | tel | [Unknown] | Modal
saleBldgSuperEmail | email | [Unknown] | Modal
saleBldgManagerName | text | [Unknown] | Modal
saleBldgManagerPhone | tel | [Unknown] | Modal
saleBldgManagerEmail | email | [Unknown] | Modal
saleBldgBoardPresident | text | Board President | Modal
saleBldgBoardEmail | email | Board Contact Email | Modal


Total fields: 223
