,Attribute Name - Current System,,MatrixFieldName,RLS Description,Resource,Standard Type,Feed
,ListAOR,,ListAOR,IDX Plus field,Property,String List, Single,IDX Plus
,ListingAgreement,,ListingAgreement,IDX Plus field,Property,String List, Single,IDX Plus
,ListingContractDate,,ListingContractDate,IDX Plus field,Property,Date,IDX Plus
,ListingId,,ListingId,IDX Plus field,Property,String,IDX Plus
,ListingKeyNumeric,,ListingKeyNumeric,IDX Plus field,Property,Number,IDX Plus
,ListingService,,ListingService,IDX Plus field,Property,String List, Single,IDX Plus
,ListingTerms,,ListingTerms,IDX Plus field,Property,String List, Multi,IDX Plus
,ListingURL,,ListingURL,IDX Plus field,Property,String,IDX Plus
,ListingURLDescription,,ListingURLDescription,IDX Plus field,Property,String List, Single,IDX Plus
,ListOfficeAOR,,ListOfficeAOR,IDX Plus field,Property,String List, Single,IDX Plus
,ListOfficeEmail,,ListOfficeEmail,IDX Plus field,Property,String,IDX Plus
,ListOfficeFax,,ListOfficeFax,IDX Plus field,Property,String,IDX Plus
,ListOfficeKey,,ListOfficeKey,IDX Plus field,Property,String,IDX Plus
,ListOfficeKeyNumeric,,ListOfficeKeyNumeric,IDX Plus field,Property,Number,IDX Plus
,ListOfficeMlsId,,ListOfficeMlsId,IDX Plus field,Property,String,IDX Plus
,ListOfficeName,,ListOfficeName,IDX Plus field,Property,String,IDX Plus
,ListOfficeNationalAssociationId,,ListOfficeNationalAssociationId,IDX Plus field,Property,String,IDX Plus
,ListOfficePhone,,ListOfficePhone,IDX Plus field,Property,String,IDX Plus
,ListOfficePhoneExt,,ListOfficePhoneExt,IDX Plus field,Property,String,IDX Plus
,ListOfficeURL,,ListOfficeURL,IDX Plus field,Property,String,IDX Plus
,ListPrice,,ListPrice,IDX Plus field,Property,Number,IDX Plus
,ListPriceLow,,ListPriceLow,IDX Plus field,Property,Number,IDX Plus
,ListTeamKey,,ListTeamKey,IDX Plus field,Property,String,IDX Plus
,ListTeamName,,ListTeamName,IDX Plus field,Property,String,IDX Plus
,LivingArea,,LivingArea,IDX Plus field,Property,Number,IDX Plus
,LivingAreaSource,,LivingAreaSource,IDX Plus field,Property,String List, Single,IDX Plus
,LivingAreaUnits,,LivingAreaUnits,IDX Plus field,Property,String List, Single,IDX Plus
,LotDimensionsSource,,LotDimensionsSource,IDX Plus field,Property,String List, Single,IDX Plus
,LotFeatures,,LotFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,LotSizeAcres,,LotSizeAcres,IDX Plus field,Property,Number,IDX Plus
,LotSizeArea,,LotSizeArea,IDX Plus field,Property,Number,IDX Plus
,LotSizeDimensions,,LotSizeDimensions,IDX Plus field,Property,String,IDX Plus
,LotSizeSource,,LotSizeSource,IDX Plus field,Property,String List, Single,IDX Plus
,LotSizeSquareFeet,,LotSizeSquareFeet,IDX Plus field,Property,Number,IDX Plus
,LotSizeUnits,,LotSizeUnits,IDX Plus field,Property,String List, Single,IDX Plus
,MainLevelBathrooms,,MainLevelBathrooms,IDX Plus field,Property,Number,IDX Plus
,MainLevelBedrooms,,MainLevelBedrooms,IDX Plus field,Property,Number,IDX Plus
,MaintenanceExpense,,MaintenanceExpense,IDX Plus field,Property,Number,IDX Plus
,MajorChangeType,,MajorChangeType,IDX Plus field,Property,String List, Single,IDX Plus
,Make,,Make,IDX Plus field,Property,String,IDX Plus
,ManagerExpense,,ManagerExpense,IDX Plus field,Property,Number,IDX Plus
,MaximumNumberOfPets,,MaximumNumberOfPets,IDX Plus field,Property,Number,IDX Plus
,MaximumPetWeight,,MaximumPetWeight,IDX Plus field,Property,Number,IDX Plus
,MiddleOrJuniorSchool,,MiddleOrJuniorSchool,IDX Plus field,Property,String,IDX Plus
,MiddleOrJuniorSchoolDistrict,,MiddleOrJuniorSchoolDistrict,IDX Plus field,Property,String,IDX Plus
,ModificationTimestamp,,ModificationTimestamp,IDX Plus field,Property,Timestamp,IDX Plus
,MoveInCosts,,MoveInCosts,IDX Plus field,Property,String List, Multi,IDX Plus
,NetOperatingIncome,,NetOperatingIncome,IDX Plus field,Property,Number,IDX Plus
,NewConstructionYN,,NewConstructionYN,IDX Plus field,Property,Boolean,IDX Plus
,NewTaxesExpense,,NewTaxesExpense,IDX Plus field,Property,Number,IDX Plus
,NumberOfBuildings,,NumberOfBuildings,IDX Plus field,Property,Number,IDX Plus
,NumberOfFullTimeEmployees,,NumberOfFullTimeEmployees,IDX Plus field,Property,Number,IDX Plus
,NumberOfLots,,NumberOfLots,IDX Plus field,Property,Number,IDX Plus
,NumberOfPads,,NumberOfPads,IDX Plus field,Property,Number,IDX Plus
,NumberOfPartTimeEmployees,,NumberOfPartTimeEmployees,IDX Plus field,Property,Number,IDX Plus
,NumberOfSeparateElectricMeters,,NumberOfSeparateElectricMeters,IDX Plus field,Property,Number,IDX Plus
,NumberOfSeparateGasMeters,,NumberOfSeparateGasMeters,IDX Plus field,Property,Number,IDX Plus
,NumberOfSeparateWaterMeters,,NumberOfSeparateWaterMeters,IDX Plus field,Property,Number,IDX Plus
,NumberOfUnitsInCommunity,,NumberOfUnitsInCommunity,IDX Plus field,Property,Number,IDX Plus
,NumberOfUnitsLeased,,NumberOfUnitsLeased,IDX Plus field,Property,Number,IDX Plus
,NumberOfUnitsMoMo,,NumberOfUnitsMoMo,IDX Plus field,Property,Number,IDX Plus
,NumberOfUnitsTotal,,NumberOfUnitsTotal,IDX Plus field,Property,Number,IDX Plus
,NumberOfUnitsVacant,,NumberOfUnitsVacant,IDX Plus field,Property,Number,IDX Plus
,OffMarketDate,,OffMarketDate,IDX Plus field,Property,Date,IDX Plus
,OffMarketTimestamp,,OffMarketTimestamp,IDX Plus field,Property,Timestamp,IDX Plus
,OngoingFees,,OngoingFees,IDX Plus field,Property,String List, Multi,IDX Plus
,OnMarketDate,,OnMarketDate,IDX Plus field,Property,Date,IDX Plus
,OnMarketTimestamp,,OnMarketTimestamp,IDX Plus field,Property,Timestamp,IDX Plus
,OpenHouseModificationTimestamp,,OpenHouseModificationTimestamp,IDX Plus field,Property,Timestamp,IDX Plus
,OpenParkingSpaces,,OpenParkingSpaces,IDX Plus field,Property,Number,IDX Plus
,OpenParkingYN,,OpenParkingYN,IDX Plus field,Property,Boolean,IDX Plus
,OperatingExpense,,OperatingExpense,IDX Plus field,Property,Number,IDX Plus
,OperatingExpenseIncludes,,OperatingExpenseIncludes,IDX Plus field,Property,String List, Multi,IDX Plus
,OriginalEntryTimestamp,,OriginalEntryTimestamp,IDX Plus field,Property,Timestamp,IDX Plus
,OriginalListPrice,,OriginalListPrice,IDX Plus field,Property,Number,IDX Plus
,OriginatingSystemBuyerTeamKey,,OriginatingSystemBuyerTeamKey,IDX Plus field,Property,String,IDX Plus
,OriginatingSystemCoListAgent2MemberKey,,OriginatingSystemCoListAgent2MemberKey,IDX Plus field,Property,String,IDX Plus
,OriginatingSystemCoListAgent3MemberKey,,OriginatingSystemCoListAgent3MemberKey,IDX Plus field,Property,String,IDX Plus
,OriginatingSystemCoListAgentMemberKey,,OriginatingSystemCoListAgentMemberKey,IDX Plus field,Property,String,IDX Plus
,OriginatingSystemCoListOffice2Key,,OriginatingSystemCoListOffice2Key,IDX Plus field,Property,String,IDX Plus
,OriginatingSystemCoListOfficeKey,,OriginatingSystemCoListOfficeKey,IDX Plus field,Property,String,IDX Plus
,OriginatingSystemID,,OriginatingSystemID,IDX Plus field,Property,String,IDX Plus
,OriginatingSystemKey,,OriginatingSystemKey,IDX Plus field,Property,String,IDX Plus
,OriginatingSystemListAgentMemberKey,,OriginatingSystemListAgentMemberKey,IDX Plus field,Property,String,IDX Plus
,OriginatingSystemListOfficeKey,,OriginatingSystemListOfficeKey,IDX Plus field,Property,String,IDX Plus
,OriginatingSystemListTeamKey,,OriginatingSystemListTeamKey,IDX Plus field,Property,String,IDX Plus
,OriginatingSystemModificationTimestamp,,OriginatingSystemModificationTimestamp,IDX Plus field,Property,Timestamp,IDX Plus
,OriginatingSystemSubName,,OriginatingSystemSubName,IDX Plus field,Property,String,IDX Plus
,OtherEquipment,,OtherEquipment,IDX Plus field,Property,String List, Multi,IDX Plus
,OtherExpense,,OtherExpense,IDX Plus field,Property,Number,IDX Plus
,OtherParking,,OtherParking,IDX Plus field,Property,String,IDX Plus
,OtherStructures,,OtherStructures,IDX Plus field,Property,String List, Multi,IDX Plus
,OwnerPays,,OwnerPays,IDX Plus field,Property,String List, Multi,IDX Plus
,Ownership,,Ownership,IDX Plus field,Property,String,IDX Plus
,OwnershipType,,OwnershipType,IDX Plus field,Property,String List, Single,IDX Plus
,ParcelNumber,,ParcelNumber,IDX Plus field,Property,String,IDX Plus
,ParcelSubcomponent,,ParcelSubcomponent,IDX Plus field,Property,String,IDX Plus
,ParkingFeatures,,ParkingFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,ParkingTotal,,ParkingTotal,IDX Plus field,Property,Number,IDX Plus
,ParkManagerName,,ParkManagerName,IDX Plus field,Property,String,IDX Plus
,ParkManagerPhone,,ParkManagerPhone,IDX Plus field,Property,String,IDX Plus
,ParkName,,ParkName,IDX Plus field,Property,String,IDX Plus
,PatioAndPorchFeatures,,PatioAndPorchFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,PendingTimestamp,,PendingTimestamp,IDX Plus field,Property,Timestamp,IDX Plus
,Permission,,Permission,IDX Plus field,Property,String List, Multi,IDX Plus
,PestControlExpense,,PestControlExpense,IDX Plus field,Property,Number,IDX Plus
,PetDeposit,,PetDeposit,IDX Plus field,Property,Number,IDX Plus
,PetsAllowed,,PetsAllowed,IDX Plus field,Property,String List, Multi,IDX Plus
,PetsAllowedYN,,PetsAllowedYN,IDX Plus field,Property,Boolean,IDX Plus
,PetsComments,,PetsComments,IDX Plus field,Property,String,IDX Plus
,PhotosChangeTimestamp,,PhotosChangeTimestamp,IDX Plus field,Property,Timestamp,IDX Plus
,PhotosCount,,PhotosCount,IDX Plus field,Property,Number,IDX Plus
,PoolExpense,,PoolExpense,IDX Plus field,Property,Number,IDX Plus
,PoolFeatures,,PoolFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,PoolPrivateYN,,PoolPrivateYN,IDX Plus field,Property,Boolean,IDX Plus
,Possession,,Possession,IDX Plus field,Property,String List, Multi,IDX Plus
,PossibleUse,,PossibleUse,IDX Plus field,Property,String List, Multi,IDX Plus
,PostalCity,,PostalCity,IDX Plus field,Property,String,IDX Plus
,PostalCode,,PostalCode,IDX Plus field,Property,String,IDX Plus
,PostalCodePlus4,,PostalCodePlus4,IDX Plus field,Property,String,IDX Plus
,PowerProductionType,,PowerProductionType,IDX Plus field,Property,String List, Multi,IDX Plus
,PowerProductionYN,,PowerProductionYN,IDX Plus field,Property,Boolean,IDX Plus
,PreviousListPrice,,PreviousListPrice,IDX Plus field,Property,Number,IDX Plus
,PriceChangeTimestamp,,PriceChangeTimestamp,IDX Plus field,Property,Timestamp,IDX Plus
,ProfessionalManagementExpense,,ProfessionalManagementExpense,IDX Plus field,Property,Number,IDX Plus
,PropertyAttachedYN,,PropertyAttachedYN,IDX Plus field,Property,Boolean,IDX Plus
,PropertySubType,,PropertySubType,IDX Plus field,Property,String List, Single,IDX Plus
,PropertySubTypeAdditional,,PropertySubTypeAdditional,IDX Plus field,Property,String List, Multi,IDX Plus
,PropertyType,,PropertyType,IDX Plus field,Property,String List, Single,IDX Plus
,PublicRemarks,,PublicRemarks,IDX Plus field,Property,String,IDX Plus
,PublicSurveySection,,PublicSurveySection,IDX Plus field,Property,String,IDX Plus
,PublicSurveyTownship,,PublicSurveyTownship,IDX Plus field,Property,String,IDX Plus
,PurchaseContractDate,,PurchaseContractDate,IDX Plus field,Property,Date,IDX Plus
,RecordSignature,,RecordSignature,IDX Plus field,Property,Number,IDX Plus
,RentControlYN,,RentControlYN,IDX Plus field,Property,Boolean,IDX Plus
,RentIncludes,,RentIncludes,IDX Plus field,Property,String List, Multi,IDX Plus
,RoadFrontageType,,RoadFrontageType,IDX Plus field,Property,String List, Multi,IDX Plus
,RoadResponsibility,,RoadResponsibility,IDX Plus field,Property,String List, Multi,IDX Plus
,RoadSurfaceType,,RoadSurfaceType,IDX Plus field,Property,String List, Multi,IDX Plus
,Roof,,Roof,IDX Plus field,Property,String List, Multi,IDX Plus
,RoomsTotal,,RoomsTotal,IDX Plus field,Property,Number,IDX Plus
,RoomType,,RoomType,IDX Plus field,Property,String List, Multi,IDX Plus
,SaleOrLeaseIndicator,,SaleOrLeaseIndicator,IDX Plus field,Property,String List, Single,IDX Plus
,SeatingCapacity,,SeatingCapacity,IDX Plus field,Property,Number,IDX Plus
,SecurityDeposit,,SecurityDeposit,IDX Plus field,Property,Number,IDX Plus
,SecurityFeatures,,SecurityFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,SeniorCommunityYN,,SeniorCommunityYN,IDX Plus field,Property,Boolean,IDX Plus
,SerialU,,SerialU,IDX Plus field,Property,String,IDX Plus
,SerialX,,SerialX,IDX Plus field,Property,String,IDX Plus
,SerialXX,,SerialXX,IDX Plus field,Property,String,IDX Plus
,Sewer,,Sewer,IDX Plus field,Property,String List, Multi,IDX Plus
,ShowingContactName,,ShowingContactName,IDX Plus field,Property,String,IDX Plus
,ShowingContactPhone,,ShowingContactPhone,IDX Plus field,Property,String,IDX Plus
,ShowingContactPhoneExt,,ShowingContactPhoneExt,IDX Plus field,Property,String,IDX Plus
,ShowingContactType,,ShowingContactType,IDX Plus field,Property,String List, Multi,IDX Plus
,SignOnPropertyYN,,SignOnPropertyYN,IDX Plus field,Property,Boolean,IDX Plus
,Skirt,,Skirt,IDX Plus field,Property,String List, Multi,IDX Plus
,SourceSystemID,,SourceSystemID,IDX Plus field,Property,String,IDX Plus
,SpaFeatures,,SpaFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,SpaYN,,SpaYN,IDX Plus field,Property,Boolean,IDX Plus
,SpecialLicenses,,SpecialLicenses,IDX Plus field,Property,String List, Multi,IDX Plus
,SpecialListingConditions,,SpecialListingConditions,IDX Plus field,Property,String List, Multi,IDX Plus
,StandardStatus,,StandardStatus,IDX Plus field,Property,String List, Single,IDX Plus
,StartShowingDate,,StartShowingDate,IDX Plus field,Property,Date,IDX Plus
,StateOrProvince,,StateOrProvince,IDX Plus field,Property,String List, Single,IDX Plus
,StateRegion,,StateRegion,IDX Plus field,Property,String,IDX Plus
,StatusChangeTimestamp,,StatusChangeTimestamp,IDX Plus field,Property,Timestamp,IDX Plus
,Stories,,Stories,IDX Plus field,Property,Number,IDX Plus
,StoriesTotal,,StoriesTotal,IDX Plus field,Property,Number,IDX Plus
,StreetAdditionalInfo,,StreetAdditionalInfo,IDX Plus field,Property,String,IDX Plus
,StreetDirPrefix,,StreetDirPrefix,IDX Plus field,Property,String List, Single,IDX Plus
,StreetDirSuffix,,StreetDirSuffix,IDX Plus field,Property,String List, Single,IDX Plus
,StreetName,,StreetName,IDX Plus field,Property,String,IDX Plus
,StreetNumber,,StreetNumber,IDX Plus field,Property,String,IDX Plus
,StreetNumberNumeric,,StreetNumberNumeric,IDX Plus field,Property,Number,IDX Plus
,StreetSuffix,,StreetSuffix,IDX Plus field,Property,String List, Single,IDX Plus
,StreetSuffixModifier,,StreetSuffixModifier,IDX Plus field,Property,String,IDX Plus
,StructureType,,StructureType,IDX Plus field,Property,String List, Multi,IDX Plus
,SubdivisionName,,SubdivisionName,IDX Plus field,Property,String,IDX Plus
,SuppliesExpense,,SuppliesExpense,IDX Plus field,Property,Number,IDX Plus
,SyndicateTo,,SyndicateTo,IDX Plus field,Property,String List, Multi,IDX Plus
,TaxAnnualAmount,,TaxAnnualAmount,IDX Plus field,Property,Number,IDX Plus
,TaxAssessedValue,,TaxAssessedValue,IDX Plus field,Property,Number,IDX Plus
,TaxBlock,,TaxBlock,IDX Plus field,Property,String,IDX Plus
,TaxBookNumber,,TaxBookNumber,IDX Plus field,Property,String,IDX Plus
,TaxLegalDescription,,TaxLegalDescription,IDX Plus field,Property,String,IDX Plus
,TaxLot,,TaxLot,IDX Plus field,Property,String,IDX Plus
,TaxMapNumber,,TaxMapNumber,IDX Plus field,Property,String,IDX Plus
,TaxOtherAnnualAssessmentAmount,,TaxOtherAnnualAssessmentAmount,IDX Plus field,Property,Number,IDX Plus
,TaxParcelLetter,,TaxParcelLetter,IDX Plus field,Property,String,IDX Plus
,TaxStatusCurrent,,TaxStatusCurrent,IDX Plus field,Property,String List, Multi,IDX Plus
,TaxTract,,TaxTract,IDX Plus field,Property,String,IDX Plus
,TaxYear,,TaxYear,IDX Plus field,Property,Number,IDX Plus
,TenantPays,,TenantPays,IDX Plus field,Property,String List, Multi,IDX Plus
,TenantPaysDescription,,TenantPaysDescription,IDX Plus field,Property,String,IDX Plus
,Topography,,Topography,IDX Plus field,Property,String,IDX Plus
,TotalActualRent,,TotalActualRent,IDX Plus field,Property,Number,IDX Plus
,Township,,Township,IDX Plus field,Property,String,IDX Plus
,TrashExpense,,TrashExpense,IDX Plus field,Property,Number,IDX Plus
,UnitNumber,,UnitNumber,IDX Plus field,Property,String,IDX Plus
,UnitsFurnished,,UnitsFurnished,IDX Plus field,Property,String List, Single,IDX Plus
,UnitTypeType,,UnitTypeType,IDX Plus field,Property,String List, Multi,IDX Plus
,UniversalParcelId,,UniversalParcelId,IDX Plus field,Property,String,IDX Plus
,UniversalPropertyId,,UniversalPropertyId,IDX Plus field,Property,String,IDX Plus
,UnparsedAddress,,UnparsedAddress,IDX Plus field,Property,String,IDX Plus
,Utilities,,Utilities,IDX Plus field,Property,String List, Multi,IDX Plus
,UtilitiesExpense,,UtilitiesExpense,IDX Plus field,Property,Number,IDX Plus
,VacancyAllowance,,VacancyAllowance,IDX Plus field,Property,Number,IDX Plus
,VacancyAllowanceRate,,VacancyAllowanceRate,IDX Plus field,Property,Number,IDX Plus
,VideosChangeTimestamp,,VideosChangeTimestamp,IDX Plus field,Property,Timestamp,IDX Plus
,VideosCount,,VideosCount,IDX Plus field,Property,Number,IDX Plus
,View,,View,IDX Plus field,Property,String List, Multi,IDX Plus
,ViewYN,,ViewYN,IDX Plus field,Property,Boolean,IDX Plus
,VirtualTourURLBranded,,VirtualTourURLBranded,IDX Plus field,Property,String,IDX Plus
,VirtualTourURLBranded2,,VirtualTourURLBranded2,IDX Plus field,Property,String,IDX Plus
,VirtualTourURLBranded3,,VirtualTourURLBranded3,IDX Plus field,Property,String,IDX Plus
,VirtualTourURLUnbranded,,VirtualTourURLUnbranded,IDX Plus field,Property,String,IDX Plus
,VirtualTourURLUnbranded2,,VirtualTourURLUnbranded2,IDX Plus field,Property,String,IDX Plus
,VirtualTourURLUnbranded3,,VirtualTourURLUnbranded3,IDX Plus field,Property,String,IDX Plus
,WalkScore,,WalkScore,IDX Plus field,Property,Number,IDX Plus
,WaterBodyName,,WaterBodyName,IDX Plus field,Property,String,IDX Plus
,WaterfrontFeatures,,WaterfrontFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,WaterfrontYN,,WaterfrontYN,IDX Plus field,Property,Boolean,IDX Plus
,WaterHeater,,WaterHeater,IDX Plus field,Property,String List, Multi,IDX Plus
,WaterSewerExpense,,WaterSewerExpense,IDX Plus field,Property,Number,IDX Plus
,WaterSource,,WaterSource,IDX Plus field,Property,String List, Multi,IDX Plus
,WindowFeatures,,WindowFeatures,IDX Plus field,Property,String List, Multi,IDX Plus
,WithdrawnDate,,WithdrawnDate,IDX Plus field,Property,Date,IDX Plus
,WoodedArea,,WoodedArea,IDX Plus field,Property,Number,IDX Plus
,WorkmansCompensationExpense,,WorkmansCompensationExpense,IDX Plus field,Property,Number,IDX Plus
,YearBuilt,,YearBuilt,IDX Plus field,Property,Number,IDX Plus
,YearBuiltDetails,,YearBuiltDetails,IDX Plus field,Property,String,IDX Plus
,YearBuiltEffective,,YearBuiltEffective,IDX Plus field,Property,Number,IDX Plus
,YearBuiltSource,,YearBuiltSource,IDX Plus field,Property,String List, Single,IDX Plus
,YearEstablished,,YearEstablished,IDX Plus field,Property,Number,IDX Plus
,YearsCurrentOwner,,YearsCurrentOwner,IDX Plus field,Property,Number,IDX Plus
,Zoning,,Zoning,IDX Plus field,Property,String,IDX Plus
,ZoningDescription,,ZoningDescription,IDX Plus field,Property,String,IDX Plus
,HumanModifiedYN,,HumanModifiedYN,IDX Plus field,Property UnitTypes,Boolean,IDX Plus
,InputEntryOrder,,InputEntryOrder,IDX Plus field,Property UnitTypes,Number,IDX Plus
,InternetEntireListingDisplayYN,,InternetEntireListingDisplayYN,IDX Plus field,Property UnitTypes,Boolean,IDX Plus
,ListAgentKey,,ListAgentKey,IDX Plus field,Property UnitTypes,String,IDX Plus
,ListAOR,,ListAOR,IDX Plus field,Property UnitTypes,String List, Single,IDX Plus
,ListingId,,ListingId,IDX Plus field,Property UnitTypes,String,IDX Plus
,ListingKey,,ListingKey,IDX Plus field,Property UnitTypes,String,IDX Plus
,ListingKeyNumeric,,ListingKeyNumeric,IDX Plus field,Property UnitTypes,Number,IDX Plus
,ListingPermission,,ListingPermission,IDX Plus field,Property UnitTypes,String List, Multi,IDX Plus
,ListOfficeKey,,ListOfficeKey,IDX Plus field,Property UnitTypes,String,IDX Plus
,ListOfficeMlsId,,ListOfficeMlsId,IDX Plus field,Property UnitTypes,String,IDX Plus
,OffMarketDate,,OffMarketDate,IDX Plus field,Property UnitTypes,Date,IDX Plus
,OriginatingSystemListingKey,,OriginatingSystemListingKey,IDX Plus field,Property UnitTypes,String,IDX Plus
,OriginatingSystemSubName,,OriginatingSystemSubName,IDX Plus field,Property UnitTypes,String,IDX Plus
,PropertySubType,,PropertySubType,IDX Plus field,Property UnitTypes,String List, Single,IDX Plus
,PropertySubTypeAdditional,,PropertySubTypeAdditional,IDX Plus field,Property UnitTypes,String List, Multi,IDX Plus
,PropertyType,,PropertyType,IDX Plus field,Property UnitTypes,String List, Single,IDX Plus
,RecordSignature,,RecordSignature,IDX Plus field,Property UnitTypes,Number,IDX Plus
,SourceSystemID,,SourceSystemID,IDX Plus field,Property UnitTypes,String,IDX Plus
,StandardStatus,,StandardStatus,IDX Plus field,Property UnitTypes,String List, Single,IDX Plus
,SyndicateTo,,SyndicateTo,IDX Plus field,Property UnitTypes,String List, Multi,IDX Plus
,UnitTypeActualRent,,UnitTypeActualRent,IDX Plus field,Property UnitTypes,Number,IDX Plus
,UnitTypeActualRentRange,,UnitTypeActualRentRange,IDX Plus field,Property UnitTypes,String,IDX Plus
,UnitTypeArea,,UnitTypeArea,IDX Plus field,Property UnitTypes,Number,IDX Plus
,UnitTypeAreaSource,,UnitTypeAreaSource,IDX Plus field,Property UnitTypes,String List, Single,IDX Plus
,UnitTypeAreaUnits,,UnitTypeAreaUnits,IDX Plus field,Property UnitTypes,String List, Single,IDX Plus
,UnitTypeBathsTotal,,UnitTypeBathsTotal,IDX Plus field,Property UnitTypes,Number,IDX Plus
,UnitTypeBedsTotal,,UnitTypeBedsTotal,IDX Plus field,Property UnitTypes,Number,IDX Plus
,UnitTypeDeposit,,UnitTypeDeposit,IDX Plus field,Property UnitTypes,Number,IDX Plus
,UnitTypeFireplaceYN,,UnitTypeFireplaceYN,IDX Plus field,Property UnitTypes,Boolean,IDX Plus
,UnitTypeFurnished,,UnitTypeFurnished,IDX Plus field,Property UnitTypes,String List, Single,IDX Plus
,UnitTypeGarageAttachedYN,,UnitTypeGarageAttachedYN,IDX Plus field,Property UnitTypes,Boolean,IDX Plus
,UnitTypeGarageSpaces,,UnitTypeGarageSpaces,IDX Plus field,Property UnitTypes,Number,IDX Plus
,UnitTypeKeyNumeric,,UnitTypeKeyNumeric,IDX Plus field,Property UnitTypes,Number,IDX Plus
,UnitTypeLeasedYN,,UnitTypeLeasedYN,IDX Plus field,Property UnitTypes,Boolean,IDX Plus
,UnitTypeMonthToMonthYN,,UnitTypeMonthToMonthYN,IDX Plus field,Property UnitTypes,Boolean,IDX Plus
,UnitTypeNumFullBaths,,UnitTypeNumFullBaths,IDX Plus field,Property UnitTypes,Number,IDX Plus
,UnitTypeNumHalfBaths,,UnitTypeNumHalfBaths,IDX Plus field,Property UnitTypes,Number,IDX Plus
,UnitTypeOccupantType,,UnitTypeOccupantType,IDX Plus field,Property UnitTypes,String List, Multi,IDX Plus
,UnitTypePetDeposit,,UnitTypePetDeposit,IDX Plus field,Property UnitTypes,Number,IDX Plus
,UnitTypePetDepositPerPetYN,,UnitTypePetDepositPerPetYN,IDX Plus field,Property UnitTypes,Boolean,IDX Plus
,UnitTypeProForma,,UnitTypeProForma,IDX Plus field,Property UnitTypes,Number,IDX Plus
,UnitTypeTotalRent,,UnitTypeTotalRent,IDX Plus field,Property UnitTypes,Number,IDX Plus
,UnitTypeType,,UnitTypeType,IDX Plus field,Property UnitTypes,String List, Single,IDX Plus
,UnitTypeUnitNum,,UnitTypeUnitNum,IDX Plus field,Property UnitTypes,String,IDX Plus
,UnitTypeUnitsTotal,,UnitTypeUnitsTotal,IDX Plus field,Property UnitTypes,Number,IDX Plus
