,Attribute Name - Current System,,MatrixFieldName,RLS Description,Resource,Standard Type,Feed
,ChangedByMemberKey,,ChangedByMemberKey,IDX Plus field,Media,String,IDX Plus
,ChangedByMemberKeyNumeric,,ChangedByMemberKeyNumeric,IDX Plus field,Media,Number,IDX Plus
,ClassName,,ClassName,IDX Plus field,Media,String List, Single,IDX Plus
,HumanModifiedYN,,HumanModifiedYN,IDX Plus field,Media,Boolean,IDX Plus
,ImageHeight,,ImageHeight,IDX Plus field,Media,Number,IDX Plus
,ImageOf,,ImageOf,IDX Plus field,Media,String List, Single,IDX Plus
,ImageSizeDescription,,ImageSizeDescription,IDX Plus field,Media,String,IDX Plus
,ImageWidth,,ImageWidth,IDX Plus field,Media,Number,IDX Plus
,InternetEntireListingDisplayYN,,InternetEntireListingDisplayYN,IDX Plus field,Media,Boolean,IDX Plus
,ListAgentKey,,ListAgentKey,IDX Plus field,Media,String,IDX Plus
,ListAOR,,ListAOR,IDX Plus field,Media,String List, Single,IDX Plus
,ListingPermission,,ListingPermission,IDX Plus field,Media,String List, Multi,IDX Plus
,ListOfficeKey,,ListOfficeKey,IDX Plus field,Media,String,IDX Plus
,ListOfficeMlsId,,ListOfficeMlsId,IDX Plus field,Media,String,IDX Plus
,LongDescription,,LongDescription,IDX Plus field,Media,String,IDX Plus
,MediaCategory,,MediaCategory,IDX Plus field,Media,String List, Single,IDX Plus
,MediaClassification,,MediaClassification,IDX Plus field,Media,String List, Single,IDX Plus
,MediaHTML,,MediaHTML,IDX Plus field,Media,String,IDX Plus
,MediaKeyNumeric,,MediaKeyNumeric,IDX Plus field,Media,Number,IDX Plus
,MediaModificationTimestamp,,MediaModificationTimestamp,IDX Plus field,Media,Timestamp,IDX Plus
,MediaObjectID,,MediaObjectID,IDX Plus field,Media,String,IDX Plus
,MediaStatus,,MediaStatus,IDX Plus field,Media,String List, Single,IDX Plus
,MediaType,,MediaType,IDX Plus field,Media,String List, Single,IDX Plus
,MediaURL,,MediaURL,IDX Plus field,Media,String,IDX Plus
,OffMarketDate,,OffMarketDate,IDX Plus field,Media,Date,IDX Plus
,Order,,Order,IDX Plus field,Media,Number,IDX Plus
,OriginatingSystemID,,OriginatingSystemID,IDX Plus field,Media,String,IDX Plus
,OriginatingSystemMediaKey,,OriginatingSystemMediaKey,IDX Plus field,Media,String,IDX Plus
,OriginatingSystemResourceRecordKey,,OriginatingSystemResourceRecordKey,IDX Plus field,Media,String,IDX Plus
